Transaction_ID,Date,Customer_ID,Product,Quantity,Payment_Method,Country,Discount_Percentage,Shipping_Cost,Delivery_Days,Customer_Rating,Return_Status,Unit_Price,Total_Price_Before_Discount,Discount_Amount,Price_After_Discount,Final_Total,Category
TXN_0001916,2023-01-02,CUST_00738,Speaker,2,Google Pay,Japan,0,0.0,17.0,5.0,No,298,596,0.0,596.0,596.0,Accessories
TXN_0000269,2023-01-02,CUST_00702,Mouse,7,Credit Card,India,0,15.0,25.0,5.0,No,34,238,0.0,238.0,253.0,Peripherals
TXN_0000213,2023-01-02,CUST_00498,Keyboard,6,Debit Card,UK,0,20.0,26.0,4.0,No,147,882,0.0,882.0,902.0,Peripherals
TXN_0000069,2023-01-02,CUST_00731,Headphones,8,Google Pay,Australia,5,15.0,4.0,1.0,No,138,1104,55.2,1048.8,1063.8,Accessories
TXN_0001802,2023-01-02,CUST_00444,Router,2,Apple Pay,Canada,0,5.0,13.0,5.0,No,193,386,0.0,386.0,391.0,Networking
TXN_0004477,2023-01-03,CUST_00454,Router,3,Bank Transfer,Germany,15,15.0,17.0,5.0,No,221,663,99.45,563.55,578.55,Networking
TXN_0002090,2023-01-03,CUST_00111,Charger,4,Credit Card,India,0,20.0,20.0,,Yes,123,492,0.0,492.0,512.0,Accessories
TXN_0003742,2023-01-03,CUST_00052,Speaker,2,Apple Pay,Australia,5,15.0,14.0,4.0,Yes,244,488,24.400000000000002,463.6,478.6,Accessories
TXN_0003910,2023-01-03,CUST_00350,Mouse,8,Google Pay,France,0,15.0,16.0,5.0,Yes,23,184,0.0,184.0,199.0,Peripherals
TXN_0001551,2023-01-03,CUST_00274,Headphones,4,Credit Card,Japan,0,10.0,3.0,,No,229,916,0.0,916.0,926.0,Accessories
TXN_0001493,2023-01-03,CUST_00066,Speaker,9,Bank Transfer,France,0,25.0,17.0,4.0,No,151,1359,0.0,1359.0,1384.0,Accessories
TXN_0000884,2023-01-03,CUST_00195,Keyboard,5,Credit Card,Japan,0,15.0,15.0,,No,129,645,0.0,645.0,660.0,Peripherals
TXN_0004674,2023-01-03,CUST_00575,Monitor,3,Google Pay,Australia,0,15.0,,2.0,Yes,358,1074,0.0,1074.0,1089.0,Peripherals
TXN_0000956,2023-01-04,CUST_00810,Webcam,8,Credit Card,USA,0,5.0,27.0,5.0,No,48,384,0.0,384.0,389.0,Peripherals
TXN_0004081,2023-01-04,CUST_00249,Charger,2,Google Pay,Australia,0,25.0,,5.0,Yes,47,94,0.0,94.0,119.0,Accessories
TXN_0001301,2023-01-04,CUST_00211,Microphone,2,Google Pay,India,0,10.0,28.0,4.0,No,199,398,0.0,398.0,408.0,Peripherals
TXN_0000421,2023-01-05,CUST_00899,Tablet,4,Google Pay,USA,5,15.0,14.0,4.0,No,562,2248,112.4,2135.6,2150.6,Electronics
TXN_0001025,2023-01-05,CUST_00818,Webcam,7,Google Pay,USA,5,20.0,7.0,5.0,No,162,1134,56.7,1077.3,1097.3,Peripherals
TXN_0000133,2023-01-05,CUST_00072,USB Cable,1,Bank Transfer,France,0,0.0,26.0,5.0,No,-28,-28,-0.0,-28.0,-28.0,Accessories
TXN_0000834,2023-01-05,CUST_00999,Speaker,1,PayPal,Japan,0,15.0,15.0,5.0,No,269,269,0.0,269.0,284.0,Accessories
TXN_0000722,2023-01-05,CUST_00651,Tablet,5,Bank Transfer,UK,0,25.0,16.0,4.0,No,488,2440,0.0,2440.0,2465.0,Electronics
TXN_0003886,2023-01-05,CUST_00166,Mouse,6,Apple Pay,India,0,25.0,3.0,5.0,No,128,768,0.0,768.0,793.0,Peripherals
TXN_0000952,2023-01-06,CUST_00989,Screen Protector,3,Apple Pay,Canada,10,15.0,11.0,5.0,No,41,123,12.3,110.7,125.7,Accessories
TXN_0004518,2023-01-06,CUST_00264,Microphone,8,Apple Pay,Germany,0,10.0,28.0,5.0,No,144,1152,0.0,1152.0,1162.0,Peripherals
TXN_0001688,2023-01-07,CUST_00427,Tablet,5,Apple Pay,Japan,10,5.0,5.0,5.0,No,461,2305,230.5,2074.5,2079.5,Electronics
TXN_0002347,2023-01-07,CUST_00700,Webcam,8,Debit Card,USA,20,10.0,15.0,5.0,No,118,944,188.8,755.2,765.2,Peripherals
TXN_0003359,2023-01-07,CUST_00636,Tablet,6,Apple Pay,USA,15,10.0,3.0,2.0,Yes,453,2718,407.7,2310.3,2320.3,Electronics
TXN_0004612,2023-01-07,CUST_00070,Webcam,9,Credit Card,Germany,5,10.0,27.0,4.0,No,126,1134,56.7,1077.3,1087.3,Peripherals
TXN_0004363,2023-01-07,CUST_00893,Screen Protector,9,Debit Card,India,10,15.0,19.0,,No,95,855,85.5,769.5,784.5,Accessories
TXN_0001619,2023-01-07,CUST_00778,Laptop,7,Apple Pay,USA,0,25.0,11.0,5.0,No,1052,7364,0.0,7364.0,7389.0,Electronics
TXN_0001252,2023-01-07,CUST_00112,Tablet,5,Credit Card,Canada,0,10.0,24.0,1.0,Yes,477,2385,0.0,2385.0,2395.0,Electronics
TXN_0001835,2023-01-07,CUST_00919,Laptop,9,Bank Transfer,Japan,0,10.0,10.0,3.0,No,997,8973,0.0,8973.0,8983.0,Electronics
TXN_0000883,2023-01-07,CUST_00797,Speaker,9,Credit Card,Japan,5,20.0,17.0,,No,208,1872,93.60000000000001,1778.4,1798.4,Accessories
TXN_0002942,2023-01-08,CUST_00637,Router,7,Apple Pay,UK,0,20.0,,5.0,Yes,211,1477,0.0,1477.0,1497.0,Networking
TXN_0002012,2023-01-08,CUST_00074,Webcam,3,Bank Transfer,USA,0,10.0,4.0,4.0,No,31,93,0.0,93.0,103.0,Peripherals
TXN_0000863,2023-01-08,CUST_00837,Mouse,8,Apple Pay,Canada,5,10.0,24.0,5.0,Yes,92,736,36.800000000000004,699.2,709.2,Peripherals
TXN_0004930,2023-01-08,CUST_00701,Charger,5,Apple Pay,Canada,0,15.0,23.0,5.0,No,32,160,0.0,160.0,175.0,Accessories
TXN_0000694,2023-01-08,CUST_00350,Webcam,1,Google Pay,Japan,10,10.0,7.0,4.0,No,129,129,12.9,116.1,126.1,Peripherals
TXN_0003163,2023-01-08,CUST_00355,Monitor,5,Bank Transfer,USA,0,15.0,27.0,1.0,No,368,1840,0.0,1840.0,1855.0,Peripherals
TXN_0003958,2023-01-08,CUST_00064,Microphone,8,Apple Pay,UK,0,5.0,3.0,4.0,Yes,144,1152,0.0,1152.0,1157.0,Peripherals
TXN_0001228,2023-01-08,CUST_00566,Tablet,9,Google Pay,UK,0,0.0,24.0,5.0,No,496,4464,0.0,4464.0,4464.0,Electronics
TXN_0002514,2023-01-08,CUST_00002,Laptop,7,Apple Pay,Japan,5,10.0,8.0,2.0,No,1083,7581,379.05,7201.95,7211.95,Electronics
TXN_0000276,2023-01-09,CUST_00481,USB Cable,3,Credit Card,Canada,0,10.0,10.0,5.0,No,40,120,0.0,120.0,130.0,Accessories
TXN_0001819,2023-01-09,CUST_00064,Smartphone,5,Credit Card,Japan,0,0.0,4.0,3.0,No,850,4250,0.0,4250.0,4250.0,Electronics
TXN_0000599,2023-01-09,CUST_00462,Screen Protector,4,Bank Transfer,USA,20,20.0,5.0,4.0,No,-31,-124,-24.8,-99.2,-79.2,Accessories
TXN_0002666,2023-01-10,CUST_00836,USB Cable,7,Apple Pay,Germany,0,10.0,10.0,4.0,No,74,518,0.0,518.0,528.0,Accessories
TXN_0002170,2023-01-10,CUST_00230,Smartphone,5,Bank Transfer,Canada,0,20.0,16.0,5.0,Yes,836,4180,0.0,4180.0,4200.0,Electronics
TXN_0004143,2023-01-10,CUST_00599,Smartphone,4,Google Pay,USA,5,5.0,3.0,5.0,Yes,764,3056,152.8,2903.2,2908.2,Electronics
TXN_0001943,2023-01-10,CUST_00070,Router,3,Credit Card,Australia,0,15.0,19.0,4.0,No,201,603,0.0,603.0,618.0,Networking
TXN_0002499,2023-01-10,CUST_00391,Smartphone,9,Bank Transfer,Canada,10,0.0,,5.0,Yes,818,7362,736.2,6625.8,6625.8,Electronics
TXN_0000719,2023-01-10,CUST_00447,Smartphone,5,Debit Card,Japan,10,20.0,1.0,5.0,No,798,3990,399.0,3591.0,3611.0,Electronics
TXN_0003631,2023-01-10,CUST_00766,USB Cable,2,Apple Pay,Australia,0,20.0,11.0,4.0,No,-23,-46,-0.0,-46.0,-26.0,Accessories
TXN_0003993,2023-01-10,CUST_00703,Screen Protector,6,Google Pay,UK,0,15.0,10.0,5.0,No,9,54,0.0,54.0,69.0,Accessories
TXN_0000990,2023-01-10,CUST_00245,Laptop,3,PayPal,Germany,5,20.0,19.0,5.0,No,1061,3183,159.15,3023.85,3043.85,Electronics
TXN_0001779,2023-01-11,CUST_00540,Screen Protector,6,Apple Pay,Australia,0,15.0,9.0,4.0,No,-10,-60,-0.0,-60.0,-45.0,Accessories
TXN_0001347,2023-01-11,CUST_00939,Webcam,7,Google Pay,Australia,10,20.0,11.0,1.0,No,152,1064,106.4,957.6,977.6,Peripherals
TXN_0001100,2023-01-11,CUST_00078,Router,3,Credit Card,Germany,15,15.0,26.0,1.0,No,177,531,79.64999999999999,451.35,466.35,Networking
TXN_0004570,2023-01-11,CUST_00534,Keyboard,5,Debit Card,Australia,0,5.0,29.0,5.0,No,215,1075,0.0,1075.0,1080.0,Peripherals
TXN_0001516,2023-01-11,CUST_00598,Tablet,4,PayPal,Germany,5,0.0,3.0,4.0,Yes,523,2092,104.60000000000001,1987.4,1987.4,Electronics
TXN_0002099,2023-01-12,CUST_00554,Headphones,5,Apple Pay,Canada,0,20.0,19.0,4.0,No,208,1040,0.0,1040.0,1060.0,Accessories
TXN_0002681,2023-01-12,CUST_00152,Laptop,2,PayPal,Australia,0,5.0,2.0,,No,1060,2120,0.0,2120.0,2125.0,Electronics
TXN_0000688,2023-01-12,CUST_00610,Smartphone,3,Credit Card,India,0,10.0,22.0,5.0,No,788,2364,0.0,2364.0,2374.0,Electronics
TXN_0002378,2023-01-12,CUST_00826,Keyboard,3,Google Pay,India,10,25.0,25.0,5.0,No,208,624,62.400000000000006,561.6,586.6,Peripherals
TXN_0003806,2023-01-12,CUST_00551,Smartphone,8,Bank Transfer,UK,0,10.0,19.0,2.0,No,871,6968,0.0,6968.0,6978.0,Electronics
TXN_0001401,2023-01-12,CUST_00685,Smartphone,6,Bank Transfer,Japan,15,5.0,7.0,4.0,No,870,5220,783.0,4437.0,4442.0,Electronics
TXN_0002282,2023-01-12,CUST_00625,Webcam,6,Credit Card,Canada,5,10.0,21.0,5.0,No,96,576,28.8,547.2,557.2,Peripherals
TXN_0001987,2023-01-12,CUST_00621,Keyboard,2,Google Pay,USA,15,15.0,23.0,2.0,No,166,332,49.8,282.2,297.2,Peripherals
TXN_0004243,2023-01-12,CUST_00895,Router,1,Credit Card,UK,5,20.0,16.0,,No,180,180,9.0,171.0,191.0,Networking
TXN_0001847,2023-01-12,CUST_00050,Microphone,4,Credit Card,India,15,15.0,,5.0,Yes,119,476,71.39999999999999,404.6,419.6,Peripherals
TXN_0002334,2023-01-12,CUST_00260,Keyboard,1,Debit Card,USA,0,5.0,16.0,3.0,No,107,107,0.0,107.0,112.0,Peripherals
TXN_0003651,2023-01-12,CUST_00158,Microphone,6,Bank Transfer,Australia,5,10.0,,5.0,Yes,150,900,45.0,855.0,865.0,Peripherals
TXN_0000513,2023-01-12,CUST_00457,Laptop,8,Credit Card,Germany,0,15.0,4.0,5.0,No,994,7952,0.0,7952.0,7967.0,Electronics
TXN_0004924,2023-01-13,CUST_00743,Charger,7,Bank Transfer,Canada,0,0.0,17.0,5.0,No,61,427,0.0,427.0,427.0,Accessories
TXN_0000994,2023-01-13,CUST_00129,USB Cable,5,Debit Card,Japan,15,5.0,19.0,4.0,No,93,465,69.75,395.25,400.25,Accessories
TXN_0002455,2023-01-13,CUST_00207,USB Cable,2,Apple Pay,USA,0,0.0,15.0,3.0,No,87,174,0.0,174.0,174.0,Accessories
TXN_0004996,2023-01-13,CUST_00237,Monitor,9,PayPal,UK,0,5.0,29.0,1.0,Yes,358,3222,0.0,3222.0,3227.0,Peripherals
TXN_0003701,2023-01-13,CUST_00252,Screen Protector,4,Credit Card,Japan,5,10.0,23.0,4.0,No,56,224,11.200000000000001,212.8,222.8,Accessories
TXN_0003725,2023-01-13,CUST_00074,Keyboard,5,Apple Pay,France,0,25.0,2.0,5.0,No,180,900,0.0,900.0,925.0,Peripherals
TXN_0002673,2023-01-13,CUST_00168,USB Cable,2,PayPal,Japan,10,15.0,26.0,2.0,No,43,86,8.6,77.4,92.4,Accessories
TXN_0003519,2023-01-13,CUST_00973,Speaker,5,Debit Card,Germany,0,5.0,24.0,4.0,No,261,1305,0.0,1305.0,1310.0,Accessories
TXN_0003600,2023-01-13,CUST_00076,Headphones,9,Google Pay,India,0,25.0,16.0,5.0,No,226,2034,0.0,2034.0,2059.0,Accessories
TXN_0001846,2023-01-14,CUST_00135,Speaker,7,PayPal,France,5,0.0,15.0,5.0,No,252,1764,88.2,1675.8,1675.8,Accessories
TXN_0003638,2023-01-14,CUST_00955,Smartphone,8,Debit Card,Germany,10,20.0,20.0,5.0,Yes,898,7184,718.4000000000001,6465.6,6485.6,Electronics
TXN_0000054,2023-01-14,CUST_00913,Hard Drive,3,Debit Card,Australia,0,5.0,9.0,1.0,No,120,360,0.0,360.0,365.0,Storage
TXN_0002683,2023-01-14,CUST_00877,Charger,5,PayPal,Australia,5,10.0,2.0,5.0,No,78,390,19.5,370.5,380.5,Accessories
TXN_0001924,2023-01-14,CUST_00499,Keyboard,6,Apple Pay,France,5,25.0,11.0,4.0,No,213,1278,63.900000000000006,1214.1,1239.1,Peripherals
TXN_0004877,2023-01-14,CUST_00325,Screen Protector,2,Apple Pay,France,0,5.0,4.0,5.0,No,2,4,0.0,4.0,9.0,Accessories
TXN_0001084,2023-01-15,CUST_00505,Router,1,Debit Card,Canada,20,5.0,26.0,5.0,No,160,160,32.0,128.0,133.0,Networking
TXN_0000098,2023-01-15,CUST_00229,Microphone,8,Credit Card,UK,5,20.0,20.0,4.0,No,112,896,44.800000000000004,851.2,871.2,Peripherals
TXN_0000890,2023-01-15,CUST_00787,Mouse,6,Credit Card,Australia,0,5.0,23.0,2.0,No,22,132,0.0,132.0,137.0,Peripherals
TXN_0000139,2023-01-15,CUST_00611,Laptop,4,Bank Transfer,UK,10,20.0,9.0,5.0,No,976,3904,390.40000000000003,3513.6,3533.6,Electronics
TXN_0001060,2023-01-15,CUST_00246,Webcam,3,Debit Card,India,20,0.0,10.0,5.0,No,167,501,100.2,400.8,400.8,Peripherals
TXN_0003894,2023-01-15,CUST_00650,Webcam,8,Apple Pay,UK,0,15.0,26.0,5.0,No,87,696,0.0,696.0,711.0,Peripherals
TXN_0000491,2023-01-16,CUST_00449,Smartphone,8,Bank Transfer,India,0,15.0,24.0,5.0,No,855,6840,0.0,6840.0,6855.0,Electronics
TXN_0001463,2023-01-16,CUST_00811,Screen Protector,7,Bank Transfer,India,0,15.0,22.0,5.0,No,77,539,0.0,539.0,554.0,Accessories
TXN_0002978,2023-01-16,CUST_00020,USB Cable,8,Bank Transfer,Japan,10,5.0,23.0,5.0,No,99,792,79.2,712.8,717.8,Accessories
TXN_0003139,2023-01-16,CUST_00254,Monitor,1,Credit Card,Australia,0,15.0,18.0,4.0,No,377,377,0.0,377.0,392.0,Peripherals
TXN_0001423,2023-01-16,CUST_00722,Speaker,3,Credit Card,UK,10,5.0,4.0,4.0,No,269,807,80.7,726.3,731.3,Accessories
TXN_0002489,2023-01-17,CUST_00988,Headphones,8,Apple Pay,UK,10,15.0,5.0,5.0,No,116,928,92.80000000000001,835.2,850.2,Accessories
TXN_0001670,2023-01-17,CUST_00369,Screen Protector,2,Credit Card,UK,0,5.0,7.0,1.0,No,45,90,0.0,90.0,95.0,Accessories
TXN_0001397,2023-01-17,CUST_00750,Headphones,5,Google Pay,Japan,10,20.0,14.0,5.0,No,233,1165,116.5,1048.5,1068.5,Accessories
TXN_0004014,2023-01-17,CUST_00502,Keyboard,2,Credit Card,Japan,20,10.0,22.0,5.0,No,213,426,85.2,340.8,350.8,Peripherals
TXN_0000341,2023-01-17,CUST_00252,Hard Drive,2,Google Pay,France,5,10.0,2.0,4.0,No,125,250,12.5,237.5,247.5,Storage
TXN_0003775,2023-01-17,CUST_00141,Keyboard,6,Credit Card,USA,5,0.0,2.0,4.0,No,82,492,24.6,467.4,467.4,Peripherals
TXN_0001377,2023-01-17,CUST_00498,Monitor,8,Bank Transfer,India,0,20.0,12.0,5.0,No,476,3808,0.0,3808.0,3828.0,Peripherals
TXN_0001315,2023-01-17,CUST_00806,Laptop,2,Apple Pay,USA,0,10.0,5.0,5.0,No,1052,2104,0.0,2104.0,2114.0,Electronics
TXN_0002525,2023-01-17,CUST_00340,Laptop,7,Bank Transfer,USA,10,15.0,22.0,5.0,Yes,1066,7462,746.2,6715.8,6730.8,Electronics
TXN_0001644,2023-01-17,CUST_00016,Keyboard,4,Bank Transfer,France,15,15.0,10.0,5.0,No,199,796,119.39999999999999,676.6,691.6,Peripherals
TXN_0004606,2023-01-17,CUST_00842,Hard Drive,3,Apple Pay,UK,0,15.0,10.0,5.0,No,217,651,0.0,651.0,666.0,Storage
TXN_0004290,2023-01-17,CUST_00066,Tablet,6,Google Pay,Canada,10,15.0,14.0,5.0,No,466,2796,279.6,2516.4,2531.4,Electronics
TXN_0000366,2023-01-18,CUST_00184,Smartphone,3,Credit Card,France,0,5.0,19.0,4.0,No,855,2565,0.0,2565.0,2570.0,Electronics
TXN_0004553,2023-01-18,CUST_00609,Screen Protector,1,Bank Transfer,Germany,5,15.0,9.0,3.0,No,93,93,4.65,88.35,103.35,Accessories
TXN_0001205,2023-01-18,CUST_00645,Speaker,7,Bank Transfer,UK,0,15.0,14.0,4.0,No,205,1435,0.0,1435.0,1450.0,Accessories
TXN_0001204,2023-01-19,CUST_00291,Screen Protector,8,Credit Card,India,5,20.0,1.0,3.0,No,-11,-88,-4.4,-83.6,-63.599999999999994,Accessories
TXN_0002642,2023-01-19,CUST_00074,USB Cable,5,Google Pay,UK,10,10.0,7.0,5.0,No,57,285,28.5,256.5,266.5,Accessories
TXN_0004260,2023-01-19,CUST_00310,Webcam,4,Debit Card,France,10,5.0,21.0,2.0,No,97,388,38.800000000000004,349.2,354.2,Peripherals
TXN_0002063,2023-01-19,CUST_00956,Monitor,4,PayPal,India,0,0.0,10.0,5.0,Yes,468,1872,0.0,1872.0,1872.0,Peripherals
TXN_0003544,2023-01-19,CUST_00019,Microphone,6,Debit Card,India,20,10.0,16.0,5.0,No,138,828,165.60000000000002,662.4,672.4,Peripherals
TXN_0003254,2023-01-19,CUST_00863,Monitor,3,Bank Transfer,India,0,20.0,,4.0,Yes,394,1182,0.0,1182.0,1202.0,Peripherals
TXN_0004854,2023-01-19,CUST_00551,Charger,4,PayPal,Germany,10,5.0,9.0,2.0,No,83,332,33.2,298.8,303.8,Accessories
TXN_0003941,2023-01-19,CUST_00565,USB Cable,4,Apple Pay,Germany,0,0.0,29.0,2.0,No,33,132,0.0,132.0,132.0,Accessories
TXN_0000560,2023-01-19,CUST_00163,USB Cable,9,PayPal,Germany,0,10.0,28.0,,No,55,495,0.0,495.0,505.0,Accessories
TXN_0002738,2023-01-19,CUST_00643,Headphones,4,Apple Pay,USA,10,5.0,7.0,5.0,No,213,852,85.2,766.8,771.8,Accessories
TXN_0004588,2023-01-19,CUST_00666,Webcam,5,PayPal,France,10,10.0,21.0,5.0,Yes,45,225,22.5,202.5,212.5,Peripherals
TXN_0002708,2023-01-20,CUST_00079,Router,6,Google Pay,France,10,10.0,26.0,5.0,No,111,666,66.60000000000001,599.4,609.4,Networking
TXN_0001976,2023-01-20,CUST_00247,Microphone,4,Bank Transfer,Japan,0,25.0,25.0,,Yes,150,600,0.0,600.0,625.0,Peripherals
TXN_0001543,2023-01-20,CUST_00117,Microphone,8,PayPal,Australia,15,5.0,24.0,5.0,No,70,560,84.0,476.0,481.0,Peripherals
TXN_0002698,2023-01-20,CUST_00132,Headphones,7,Debit Card,UK,5,15.0,16.0,5.0,No,137,959,47.95,911.05,926.05,Accessories
TXN_0003481,2023-01-20,CUST_00517,USB Cable,2,PayPal,Japan,5,5.0,15.0,5.0,No,91,182,9.1,172.9,177.9,Accessories
TXN_0004322,2023-01-20,CUST_00954,Keyboard,7,Debit Card,UK,15,5.0,6.0,5.0,No,176,1232,184.79999999999998,1047.2,1052.2,Peripherals
TXN_0000391,2023-01-20,CUST_00195,Charger,8,Apple Pay,France,0,5.0,29.0,,Yes,120,960,0.0,960.0,965.0,Accessories
TXN_0002688,2023-01-20,CUST_00724,Hard Drive,7,PayPal,Germany,0,5.0,5.0,4.0,No,136,952,0.0,952.0,957.0,Storage
TXN_0002110,2023-01-21,CUST_00518,Hard Drive,8,Google Pay,France,5,0.0,26.0,5.0,No,181,1448,72.4,1375.6,1375.6,Storage
TXN_0002848,2023-01-21,CUST_00356,Microphone,5,Debit Card,USA,0,15.0,15.0,5.0,No,175,875,0.0,875.0,890.0,Peripherals
TXN_0000007,2023-01-21,CUST_00895,Charger,6,Bank Transfer,UK,0,5.0,25.0,4.0,No,32,192,0.0,192.0,197.0,Accessories
TXN_0002483,2023-01-21,CUST_00891,USB Cable,4,Bank Transfer,UK,5,10.0,3.0,5.0,Yes,88,352,17.6,334.4,344.4,Accessories
TXN_0001908,2023-01-21,CUST_00429,Monitor,6,Credit Card,Japan,20,5.0,18.0,5.0,No,375,2250,450.0,1800.0,1805.0,Peripherals
TXN_0001717,2023-01-21,CUST_00323,Screen Protector,6,Apple Pay,UK,0,15.0,17.0,4.0,Yes,65,390,0.0,390.0,405.0,Accessories
TXN_0004485,2023-01-21,CUST_00126,Laptop,8,Apple Pay,Canada,10,5.0,29.0,5.0,No,1050,8400,840.0,7560.0,7565.0,Electronics
TXN_0000048,2023-01-21,CUST_00089,Mouse,1,Apple Pay,USA,0,10.0,26.0,5.0,No,130,130,0.0,130.0,140.0,Peripherals
TXN_0001710,2023-01-22,CUST_00468,Microphone,6,Bank Transfer,Canada,0,5.0,13.0,1.0,No,89,534,0.0,534.0,539.0,Peripherals
TXN_0000030,2023-01-22,CUST_00828,Screen Protector,2,Credit Card,Canada,0,15.0,4.0,1.0,Yes,82,164,0.0,164.0,179.0,Accessories
TXN_0004229,2023-01-22,CUST_00215,Screen Protector,3,Apple Pay,Canada,15,15.0,25.0,4.0,No,45,135,20.25,114.75,129.75,Accessories
TXN_0003643,2023-01-22,CUST_00200,Laptop,2,Apple Pay,Germany,0,10.0,5.0,5.0,No,1024,2048,0.0,2048.0,2058.0,Electronics
TXN_0001674,2023-01-22,CUST_00345,Headphones,8,Bank Transfer,India,5,5.0,27.0,4.0,No,106,848,42.400000000000006,805.6,810.6,Accessories
TXN_0002886,2023-01-22,CUST_00966,Speaker,4,Credit Card,Japan,0,20.0,10.0,3.0,No,223,892,0.0,892.0,912.0,Accessories
TXN_0001841,2023-01-22,CUST_00883,Laptop,7,Debit Card,UK,0,5.0,25.0,4.0,No,1063,7441,0.0,7441.0,7446.0,Electronics
TXN_0004129,2023-01-22,CUST_00554,Keyboard,8,Bank Transfer,India,0,0.0,11.0,5.0,No,203,1624,0.0,1624.0,1624.0,Peripherals
TXN_0003526,2023-01-22,CUST_00275,Webcam,7,Credit Card,USA,5,5.0,7.0,5.0,No,131,917,45.85,871.15,876.15,Peripherals
TXN_0000320,2023-01-22,CUST_00371,Webcam,5,Apple Pay,UK,0,25.0,17.0,5.0,No,95,475,0.0,475.0,500.0,Peripherals
TXN_0004314,2023-01-22,CUST_00176,Headphones,8,Google Pay,Canada,0,15.0,15.0,5.0,No,167,1336,0.0,1336.0,1351.0,Accessories
TXN_0003347,2023-01-23,CUST_00464,Smartphone,1,Credit Card,USA,0,15.0,13.0,5.0,Yes,754,754,0.0,754.0,769.0,Electronics
TXN_0000481,2023-01-23,CUST_00056,Mouse,6,Credit Card,India,10,10.0,21.0,5.0,No,103,618,61.800000000000004,556.2,566.2,Peripherals
TXN_0003698,2023-01-23,CUST_00318,Speaker,9,Debit Card,Germany,0,15.0,1.0,5.0,No,164,1476,0.0,1476.0,1491.0,Accessories
TXN_0000746,2023-01-23,CUST_00763,Screen Protector,6,Credit Card,UK,0,25.0,2.0,5.0,No,-30,-180,-0.0,-180.0,-155.0,Accessories
TXN_0003627,2023-01-23,CUST_00428,Smartphone,5,Debit Card,Australia,0,10.0,21.0,4.0,No,758,3790,0.0,3790.0,3800.0,Electronics
TXN_0002643,2023-01-23,CUST_00537,Laptop,8,Credit Card,India,0,20.0,23.0,5.0,No,1042,8336,0.0,8336.0,8356.0,Electronics
TXN_0001042,2023-01-23,CUST_00030,Mouse,5,Apple Pay,Germany,5,15.0,2.0,3.0,No,129,645,32.25,612.75,627.75,Peripherals
TXN_0001105,2023-01-23,CUST_00613,Tablet,9,Apple Pay,Japan,10,15.0,22.0,5.0,No,587,5283,528.3000000000001,4754.7,4769.7,Electronics
TXN_0001880,2023-01-24,CUST_00331,Charger,7,Bank Transfer,UK,10,0.0,8.0,5.0,No,61,427,42.7,384.3,384.3,Accessories
TXN_0001165,2023-01-25,CUST_00317,Mouse,5,Debit Card,India,5,10.0,5.0,3.0,No,137,685,34.25,650.75,660.75,Peripherals
TXN_0004628,2023-01-25,CUST_00946,Hard Drive,7,Debit Card,USA,10,5.0,7.0,5.0,Yes,149,1043,104.30000000000001,938.7,943.7,Storage
TXN_0000906,2023-01-25,CUST_00224,Tablet,6,Debit Card,France,0,15.0,,4.0,Yes,573,3438,0.0,3438.0,3453.0,Electronics
TXN_0000578,2023-01-25,CUST_00982,Charger,4,Apple Pay,Germany,20,10.0,29.0,5.0,No,91,364,72.8,291.2,301.2,Accessories
